year,published_date,short_id,short_title,short_channel,short_url,overlay_href,overlay_label,overlay_link_type,is_self_link,connected_id,connected_url,connection_type,detection_method,status
2026,2026-01-26 17:17:42+00:00,PSQmX3tPifQ,Nuovo video online 🤸🏼‍♀️🛼💜 #pilates #reformer #reformeronthemat,fitgreta,https://www.youtube.com/shorts/PSQmX3tPifQ,,,,False,,,none,not_found,no_connection
2025,2025-01-22 13:00:39+00:00,SSE3NT3h4IA,Try Not to Laugh Challenge 175 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/SSE3NT3h4IA,,,,False,,,none,not_found,no_connection
2026,2026-02-02 12:13:03+00:00,bo978Itfkj4,Ho una famiglia dove la solidarietà e l’astenersi dall’essere cattivi sono principi fondamentali 💖,Alessandra Spadina,https://www.youtube.com/shorts/bo978Itfkj4,/shorts/Uv0cA71ByXY,Cosa mi metto quando vado dal notaio 🖤 cosa ne pensate? #grwm #outfit #ootd,short,False,Uv0cA71ByXY,https://www.youtube.com/shorts/Uv0cA71ByXY,short,overlay_link,connected
2025,2025-10-29 13:00:17+00:00,4HKCLYTr15M,La Commentanza 048 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/4HKCLYTr15M,,,,False,,,none,not_found,no_connection
2025,2025-08-16 07:32:52+00:00,ERt80jr2-C4,il CAPITANO TUCKER interpretato da Jai Courtney in #dangerousanimals #mrmarra #podcast #ad,Mr. Marra,https://www.youtube.com/shorts/ERt80jr2-C4,,,,False,,,none,not_found,no_connection
2025,2025-08-31 15:48:13+00:00,X2PNQZI6TZY,Mamma miaaa😭👀,ISABO,https://www.youtube.com/shorts/X2PNQZI6TZY,,,,False,,,none,not_found,no_connection
2025,2025-04-25 11:21:23+00:00,u2NXk6Qo-ww,È stato ICONico portare #tonyeffe ad #Onlyfun sul @NOVE9,THOMAS BASILICO,https://www.youtube.com/shorts/u2NXk6Qo-ww,,,,False,,,none,not_found,no_connection
2025,2025-01-11 15:00:19+00:00,Czwlro21M70,AIUTATEMI DEVO SAPERLO!!,Debora Fulli,https://www.youtube.com/shorts/Czwlro21M70,,,,False,,,none,not_found,no_connection
2025,2025-02-25 12:01:50+00:00,rFdFV8pb5mw,Medea #liceo #libri #scuola #thekolors #stash #grecia #euripide #sanremo #sanremo2025 #cover,Contenuti Zero,https://www.youtube.com/shorts/rFdFV8pb5mw,,,,False,,,none,not_found,no_connection
2026,2026-02-11 13:01:32+00:00,jwMQA37Ztj8,La Commentanza 080 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/jwMQA37Ztj8,,,,False,,,none,not_found,no_connection
2026,2026-02-06 13:17:44+00:00,7hz4KD2W7_8,Se Fabrizio Corona fosse stato Lady Whistledown,Valentina Barbieri,https://www.youtube.com/shorts/7hz4KD2W7_8,,,,False,,,none,not_found,no_connection
