media_id,caption,comments_count,like_count,media_product_type,media_type,permalink,timestamp,reach,saved,views,total_interactions,year,Not_reel,month,dayofweek,hour
17856871228084404,"E come annina moroni prima di me anche io oggi dopo essermi lavata le mani stilerò la lista dei buoni propositi 2017 allora\n- numero uno diventare grande e smettere di ridere e rispondere ""solo"" quando qualcuno dice ""accompagnare""\n- Convincermi del fatto che pasta integrale non significa mangiane quanta ne vuoi\n- Se sbaglio uscita dell'autostrada non succede niente non c'e bisogno di piangere e gridare che non rivedró piu i miei cari\n- Fondare una Onlus per le vittime di amazon 1-click -Esselunga aperto 24h\n- Far dichiarare il piumino smanicato crimine contro l'umanità \nQueste a grandi linee solo le mie speranze per l'anno nuovo fatemi sapere le vostre.",144,21159,FEED,IMAGE,https://www.instagram.com/p/BOuMIHXDZsy/,2017-01-01 12:26:48,552.0,385.0,0.0,21688.0,2017,True,1,Sunday,12
17868548707049918,Da grande vorrei avere il coraggio di quelli che pucciano i biscotti nel latte senza prima fare toc toc sul tavolo per levarci le briciole e la maturità di coloro i quali accettano di buon grado la sorte anche quando a buttarti giù e il tuo turno nel dover mangiare il culetto del pane in cassetta ma se poi potessi proprio esagerare vorrei anche solo un pizzico dell'audacia di chi beve la spremuta d'arancia coi pezzini dentro.,153,16530,FEED,IMAGE,https://www.instagram.com/p/BO4ZXygjVW6/,2017-01-05 11:34:56,498.0,201.0,0.0,16884.0,2017,True,1,Thursday,11
17863155169069777,"Note della scorsa domenica a stomaco vuoto:mamma diceva sempre che la vita è come una scatola di Madeleine, non sai mai che anno ti capita.",53,5626,FEED,IMAGE,https://www.instagram.com/p/BO9iUUzDBMS/,2017-01-07 11:29:18,518.0,699.0,0.0,6378.0,2017,True,1,Saturday,11
17870168899014286,Ciao amici sto andando dal dentista e se devo essere onesta non avevo così tanta paura da quando annunciarono che ci sarebbe stata una terza edizione della talpa quindi siccome non sono neanche certa che torneró da questa catabasi ci tenevo a salutarvi tutti e ringraziarvi di cuore per esserci stati sempre anche quando l'Algida tolse il winner classico dalla produzione e iniziai a pensare che nulla avesse più senso. \nPer questo e molto altro vi sono debitrice e voglio che mi ricordiate così: ingenua e speranzosa quella volta in cui cercai di farmi un selfi col cavallo che di tutta risposta mi porse il deretano.,76,15717,FEED,VIDEO,https://www.instagram.com/p/BPZ0taWDwY6/,2017-01-18 11:08:45,1558.0,119.0,0.0,15912.0,2017,False,1,Wednesday,11
17847505831176041,Titolo: quello che vedo da camera mia mentre metto laic ad una foto di Eugenio del '71,13,2890,FEED,IMAGE,https://www.instagram.com/p/BPkXKKojQV8/,2017-01-22 13:22:11,439.0,177.0,0.0,3081.0,2017,True,1,Sunday,13
17857970083094724,"Buon Lunedì amici cari e ben trovati ad un nuovo episodio di Neil Buchanan che spiccia casa alla gente oggi in particolare le stanze verranno ramazzate a questi nove eredi del compianto Dodó:\n@giuseppe__giglio , @manuelcordini_ , @finny.red , @ogulcanuzelgok, @ayzithel , @annapaulachaveiro , @art_not_wxr , @__runya, \n@delevingne200 . \nGrazie di cuore amici siete tutto quello che la mia prof di educazione artistica ha sempre sperato che io fossi e invece pernacchia.",34,6722,FEED,IMAGE,https://www.instagram.com/p/BPmzlVdj0aG/,2017-01-23 12:09:02,511.0,92.0,0.0,6848.0,2017,True,1,Monday,12
17847698587188329,Buongiorno amici stamattina mi sono alzata molto presto per prendere un treno che mi consentirà di raggiungere e poter finalmente riabbracciare quei compagni di merende tali Peppe e Stefano infatti se oggi vi sentite particolarmente tristi e soli come Adriano Pappalardo quando venne abbandonato in autogrill potete sintonizzarvi su @radiosonica90.7 alle 17.00 e partecipare ai nostri discutibili siparietti radiofonici cosí da convincervi definitivamente del fatto che l'estinzione della nostra specie è quanto mai necessaria.,136,25141,FEED,IMAGE,https://www.instagram.com/p/BPud1kFDk9C/,2017-01-26 11:32:56,601.0,349.0,0.0,25626.0,2017,True,1,Thursday,11
17862109573072714,È con felicità ed emozione che annuncio l'uscita in ateprima su Rockit del nuovo video di Manzarek dei @canovatheband all'interno del quale i più attenti potranno forse constatare che appaio io me medesima quindi mi premeva dire giusto due cose allora la prima è per mia mamma: mamma scusa se fumo una sigaretta ma era solo per finta non per vero lo sai come sono queste cose della televisione! e poi la seconda cosa è che a questa bend voglio davvero tanto bene quindi amici uniamoci e portiamo queste vius alle stelle.,68,16314,FEED,IMAGE,https://www.instagram.com/p/BP7l_juDg_p/,2017-01-31 13:54:20,568.0,129.0,0.0,16511.0,2017,True,1,Tuesday,13
17849731207141104,Per i pochi che ancora non lo sapessero il mese scorso dopo un duro allenamento durato 26 lunghissimi anni ho finalmente battuto il record mondiale di posticipazioni consapevoli della sveglia e siccome non vincevo qualcosa dai tempi di Encarta @rollingstoneitalia ha pensato di dedicarmi due pagine del loro numero di Febbraio cosí da celebrare questo primato tricolore e ricordarci sempre che siamo fatti della stessa materia di cui sono fatti i cinque minuti ancora e mi alzo.,177,16540,FEED,IMAGE,https://www.instagram.com/p/BP95xO6DOmr/,2017-02-01 11:25:37,515.0,474.0,0.0,17192.0,2017,True,2,Wednesday,11
17860372819111569,Amiche femmine e fidanzati italiani in panico per San Valentino vi informo che è uscita la nuova palette di @we.makeup contenente quei rossetti incredibili di cui mi chiedevate nome e numero ma non potevo ancora ris sul vostro perche non erano ancora in vendita invece adesso tutto è stato messo onlain sul sito www.wemakeup.it compresa la campagna pubblicitaria in cui ad un certo punto il mito racconta io abbia perfino indossato un vestito rosso coi tacchi non so cosa mi sia preso ma dubito risuccederà quindi cogliete l'attimo.,81,6485,FEED,VIDEO,https://www.instagram.com/p/BQGAl4FjhSJ/,2017-02-04 14:59:10,2027.0,133.0,0.0,6704.0,2017,False,2,Saturday,14
