period_label,C1,C2,C3,C4
2017-2019,19.677336747759284,9.434058898847631,30.15108834827145,40.73751600512164
2020-2022,18.89484742998714,16.99752250133283,36.72656568507542,27.381064383604603
2023-2026-03,15.65732883877717,20.684644891316985,31.61106590724166,32.04696036266419
