cluster_id,display_order,display_cluster_code,cluster_name,cluster_label,era,recency,frequency,engagement,clumpiness,frequency_log,recency_scaled,frequency_log_scaled,engagement_scaled,clumpiness_scaled,recency_inverted_scaled
4,1,C1,Recent Broad Active,C1 Recent Broad Active,2017-2019,0.10904872389791179,13.071152358855375,9.603518501413133,22.082702382595457,2.64412676961015,0.0,0.8330371609856352,0.7023647984500505,0.08947516450352962,1.0
4,1,C1,Recent Broad Active,C1 Recent Broad Active,2020-2022,0.1241432374142654,16.606652806652807,9.741816964011138,30.08868363418095,2.868276830997962,0.03344273689925208,1.0,0.7167229306990275,0.19282494615485885,0.966557263100748
4,1,C1,Recent Broad Active,C1 Recent Broad Active,2023-2026,0.14094746716697934,15.541208791208792,10.053570833939055,29.937147313512934,2.8058547698277074,0.07067344551438826,0.9535036283925786,0.7490891856050309,0.1908687530086179,0.9293265544856117
2,2,C2,Recent Steady Conversational,C2 Recent Steady Conversational,2017-2019,0.14689323428116013,3.936598639455782,9.080664516889007,15.151517061716042,1.5966765595279524,0.08384662430205468,0.05282206883386543,0.6480821512269695,0.0,0.9161533756979453
2,2,C2,Recent Steady Conversational,C2 Recent Steady Conversational,2020-2022,0.12978477111573247,3.7109919571045578,9.014197851859892,17.43206453422542,1.549898492457809,0.04594186958623937,0.017978451869055657,0.6411815888583879,0.029439749597547287,0.9540581304137606
2,2,C2,Recent Steady Conversational,C2 Recent Steady Conversational,2023-2026,0.1307756115892613,3.5986471251409244,10.284972108562863,17.107908291683213,1.5257621570079791,0.048137131939640435,0.0,0.7731132422808309,0.025255193596867415,0.9518628680603596
3,3,C3,Recent Bursty Conversational,C3 Recent Bursty Conversational,2017-2019,0.15085665441975118,4.05079006772009,11.993591347203086,79.56134673316588,1.6195446801038749,0.0926278027595448,0.06985586445559813,0.950501916968069,0.8314710743827132,0.9073721972404551
3,3,C3,Recent Bursty Conversational,C3 Recent Bursty Conversational,2020-2022,0.13549887570464886,4.599205136044024,11.820573170672528,92.61642432775403,1.7226246476745308,0.058601787123489193,0.14663712395893008,0.9325391875679344,1.0,0.9413982128765108
3,3,C3,Recent Bursty Conversational,C3 Recent Bursty Conversational,2023-2026,0.14493571147165213,4.434864694776589,11.401413192429555,91.73193840651146,1.692834625097982,0.07950962329690567,0.12444740554936347,0.8890220414765523,0.9885821083060878,0.9204903767030943
1,4,C4,Recent Bursty Light,C4 Recent Bursty Light,2017-2019,0.1198099425572654,4.356610169491526,3.2224546357597204,44.577805976702074,1.678331343948813,0.023842080365834975,0.11364433469274116,0.03988340024004885,0.37986605746428165,0.976157919634165
1,4,C4,Recent Bursty Light,C4 Recent Bursty Light,2020-2022,0.1293407757330306,4.633468623165782,3.098662007488758,73.48002100421085,1.7287253489191283,0.044958173042982476,0.15118135826995335,0.02703126222800588,0.7529668078240518,0.9550418269570176
1,4,C4,Recent Bursty Light,C4 Recent Bursty Light,2023-2026,0.13530066352757497,4.682328907048008,3.221064521677392,78.23653184226136,1.7373611675447829,0.05816263698586281,0.15761392753192552,0.03973907873812984,0.814368944687331,0.9418373630141372
6,5,C5,Dormant Conversational,C5 Dormant Conversational,2017-2019,0.4854551120954319,3.6307448494453247,12.47036009860891,25.697360385166895,1.5327177297694317,0.8339493547804189,0.00518100315490811,1.0,0.13613704186378522,0.16605064521958113
6,5,C5,Dormant Conversational,C5 Dormant Conversational,2020-2022,0.5502713241483482,3.8764684941260237,12.228161041324089,32.32580301292372,1.5844212886536069,0.977553289027347,0.04369347522384358,0.9748549186321672,0.22170407939979805,0.02244671097265305
6,5,C5,Dormant Conversational,C5 Dormant Conversational,2023-2026,0.5328312417131756,3.972187104930468,11.053021004490663,31.325644244327872,1.6038598046641557,0.9389138133165962,0.058172658496214905,0.8528520001401043,0.20879295868857073,0.06108618668340382
5,6,C6,Dormant Light,C6 Dormant Light,2017-2019,0.49908544253149506,4.0142076502732245,3.114887448938651,23.108138097854372,1.61227541297374,0.8641481123706696,0.06444119952048018,0.02871578590064255,0.10271258711784009,0.13585188762933043
5,6,C6,Dormant Light,C6 Dormant Light,2020-2022,0.5369288198666651,4.1016109045848825,2.8382951336230366,31.165857358493717,1.629556353499956,0.947992226341488,0.07731326778239098,0.0,0.2067302584095218,0.05200777365851195
5,6,C6,Dormant Light,C6 Dormant Light,2023-2026,0.5604027372320056,4.206563706563706,3.0589182141689326,29.75527529197104,1.6499200808802468,1.0,0.09248161400222733,0.022905065668462246,0.18852095414122502,0.0
