cluster_id,cluster_size,cluster_share,medoid_profile,medoid_recency_level,medoid_frequency_level,medoid_engagement_level,mean_recency_score,mean_frequency_score,mean_engagement_score,dominant_profile,dominant_profile_share_within_cluster,suggested_name,behavioral_description,dominant_recency_level,dominant_frequency_level,dominant_engagement_level
C1,19507,0.12418908164889383,R=Low | F=High | E=Medium,Low,High,Medium,1.2540626441790126,2.737530117393756,2.0461885477008255,R=Low | F=Medium | E=Medium,0.26246988260624393,Active Regulars,"Medoid R=Low | F=High | E=Medium | mean scores R=1.25, F=2.74, E=2.05 | dominant profile R=Low | F=Medium | E=Medium",Low,Medium,Medium
C2,13341,0.08493394875059684,R=Low | F=Low | E=High,Low,Low,High,1.0,1.27126902031332,3.0,R=Low | F=Low | E=High,0.7287309796866802,Expressive Drop-Ins,"Medoid R=Low | F=Low | E=High | mean scores R=1.00, F=1.27, E=3.00 | dominant profile R=Low | F=Low | E=High",Low,Low,High
C3,27988,0.17818239694413496,R=Low | F=Low | E=Low,Low,Low,Low,1.0,1.1528869515506646,1.3840931827926255,R=Low | F=Low | E=Low,0.46301986565671,Recent Light Visitors,"Medoid R=Low | F=Low | E=Low | mean scores R=1.00, F=1.15, E=1.38 | dominant profile R=Low | F=Low | E=Low",Low,Low,Low
C4,17046,0.1085214069711921,R=Medium | F=Low | E=Medium,Medium,Low,Medium,2.0,1.2466267746098791,2.0,R=Medium | F=Low | E=Medium,0.7533732253901209,Cooling Conversationalists,"Medoid R=Medium | F=Low | E=Medium | mean scores R=2.00, F=1.25, E=2.00 | dominant profile R=Medium | F=Low | E=Medium",Medium,Low,Medium
C5,18795,0.11965621518382938,R=Medium | F=Low | E=Low,Medium,Low,Low,2.0,1.1845171588188348,1.0,R=Medium | F=Low | E=Low,0.8154828411811652,Cooling Passersby,"Medoid R=Medium | F=Low | E=Low | mean scores R=2.00, F=1.18, E=1.00 | dominant profile R=Medium | F=Low | E=Low",Medium,Low,Low
C6,26894,0.1712175712239376,R=Medium | F=Low | E=High,Medium,Low,High,2.464713318955901,1.1521528965568528,3.0,R=Medium | F=Low | E=High,0.4270469249646761,Lapsed Enthusiasts,"Medoid R=Medium | F=Low | E=High | mean scores R=2.46, F=1.15, E=3.00 | dominant profile R=Medium | F=Low | E=High",Medium,Low,High
C7,15149,0.09644437370682794,R=High | F=Low | E=Medium,High,Low,Medium,3.0,1.1145950227737804,2.0,R=High | F=Low | E=Medium,0.8854049772262196,Lost Conversationalists,"Medoid R=High | F=Low | E=Medium | mean scores R=3.00, F=1.11, E=2.00 | dominant profile R=High | F=Low | E=Medium",High,Low,Medium
C8,18355,0.1168550055705873,R=High | F=Low | E=Low,High,Low,Low,3.0,1.1103786434214111,1.0,R=High | F=Low | E=Low,0.9024244075183874,Lost Passersby,"Medoid R=High | F=Low | E=Low | mean scores R=3.00, F=1.11, E=1.00 | dominant profile R=High | F=Low | E=Low",High,Low,Low
