cluster,cluster_name,n_users,avg_observed_windows,recency_low_share,recency_mid_share,recency_high_share,recency_dominant_level,coverage_low_share,coverage_mid_share,coverage_high_share,coverage_dominant_level,engagement_low_share,engagement_mid_share,engagement_high_share,engagement_dominant_level,delay_low_share,delay_mid_share,delay_high_share,delay_dominant_level,tenure_low_share,tenure_mid_share,tenure_high_share,tenure_dominant_level,gini_low_share,gini_mid_share,gini_high_share,gini_dominant_level
1,Brand advocates,372,31.658602150537636,0.5214400951006198,0.34524921457077357,0.1333106903286066,Low,0.18841810308227902,0.2656873567122357,0.5458945402054852,High,0.26254563980640233,0.3725906427782967,0.364863717415301,Mid,0.789165322238261,0.14969856499957546,0.06113611276216354,Low,0.05408847754096969,0.39195041181964846,0.5539611106393818,High,0.24479918485182983,0.2146556848093742,0.5405451303387959,High
2,Established regulars,2473,18.835826930853216,0.3203666731070608,0.409265580386853,0.2703677465060862,Mid,0.5422382516476675,0.3395161117193706,0.11824563663296193,Low,0.37747150125587686,0.3050385350250102,0.3174899637191129,Low,0.7257894849831477,0.1780983662866834,0.09611214873016895,Low,0.13344496683197013,0.46179772868766233,0.4047573044803675,Mid,0.6455851098087203,0.23812283978446147,0.11629205040681823,Low
3,Passive regulars,8425,9.288427299703264,0.2610312440099674,0.4082678423103955,0.3307009136796371,Mid,0.789559772538496,0.18474218899750813,0.02569803846399591,Low,0.42048431410133535,0.2806082678423104,0.29890741805635423,Low,0.6648009711839499,0.20337358635230976,0.13182544246374034,Low,0.3539709922688646,0.4007539454347965,0.24527506229633889,Mid,0.8956999552744234,0.07897258961088749,0.025327455114689156,Low
4,Occasional Visitors,7482,5.035284683239776,0.2878112225938313,0.38756171364867015,0.32462706375749856,Mid,0.5573339703774486,0.3640441683919945,0.07862186123055688,Low,0.42663375272070925,0.2931995540691193,0.28016669321017146,Low,0.6465732335297553,0.18628231671709933,0.1671444497531454,Low,0.4707756012103838,0.32449434623347667,0.20473005255613952,Low,0.6291076073684769,0.29760577586664544,0.07328661676487763,Low
