cluster,cluster_name,n_observations,recency_low_share,recency_mid_share,recency_high_share,recency_dominant_level,coverage_low_share,coverage_mid_share,coverage_high_share,coverage_dominant_level,engagement_low_share,engagement_mid_share,engagement_high_share,engagement_dominant_level,delay_low_share,delay_mid_share,delay_high_share,delay_dominant_level,tenure_low_share,tenure_mid_share,tenure_high_share,tenure_dominant_level,gini_low_share,gini_mid_share,gini_high_share,gini_dominant_level
1,Brand advocates,33493,0.623861702445287,0.3399217746991909,0.03621652285552205,Low,0.0,0.5028513420714776,0.49714865792852236,Mid,0.29158331591675873,0.41375809870719255,0.2946585853760487,Mid,0.7376466724390172,0.19836980861672587,0.06398351894425701,Low,0.2195384110112561,0.39903860508165884,0.38142298390708507,Mid,0.0,0.5081957423939331,0.49180425760606694,Mid
2,Expressive regulars,54049,0.21911598734481674,0.4132361375788636,0.36764787507631963,Mid,0.786823067956854,0.21317693204314603,0.0,Low,0.0,0.3669078058798498,0.6330921941201503,High,0.8570001295121094,0.14299987048789062,0.0,Low,0.140779662898481,0.46176617513737533,0.3974541619641436,Mid,0.9103406168476753,0.08965938315232475,0.0,Low
3,Passive regulars,59420,0.21952204644900708,0.41413665432514307,0.3663412992258499,Mid,0.8140861662739818,0.18591383372601816,0.0,Low,0.875109390777516,0.12489060922248402,0.0,Low,0.8155334904072703,0.18446650959272973,0.0,Low,0.40570514978121847,0.36723325479636487,0.2270615954224167,Low,0.9201447324133288,0.07985526758667115,0.0,Low
4,Delayed visitors,27325,0.2397804208600183,0.41544373284537967,0.344775846294602,Mid,0.7085452881976212,0.2819762122598353,0.009478499542543458,Low,0.28867337602927723,0.38397072278133576,0.327355901189387,Mid,0.0,0.280256175663312,0.719743824336688,High,0.4838060384263495,0.350192131747484,0.1660018298261665,Low,0.8369990850869168,0.16102470265324795,0.001976212259835316,Low
