cluster_id,display_order,display_cluster_code,cluster_name,cluster_label,era,recency,frequency,engagement,recency_scaled,frequency_scaled,engagement_scaled,recency_inverted_scaled
2,1,C1,Recent Conversational,C1 Recent Conversational,2022,0.08888888888888884,2.8518518518518516,8.823456790123457,0.06085580550672947,0.8184458968772693,0.5124852643761435,0.9391441944932706
2,1,C1,Recent Conversational,C1 Recent Conversational,2023,0.08488372093023251,2.7142857142857144,9.415374149659865,0.05503474442190279,0.7408963585434175,0.5612259590721421,0.9449652555780972
2,1,C1,Recent Conversational,C1 Recent Conversational,2024,0.047017189079878646,1.8837209302325582,10.395348837209303,0.0,0.27268581851345197,0.6419207491236845,1.0
2,1,C1,Recent Conversational,C1 Recent Conversational,2025,0.05900266463646741,2.5405405405405403,12.57059202059202,0.017419540470159575,0.6429517753047165,0.8210384286150353,0.9825804595298404
1,2,C2,Recent Light,C2 Recent Light,2022,0.08080808080808076,2.259259259259259,2.740740740740741,0.04911125997487973,0.4843863471314451,0.011611618572590191,0.9508887400251202
1,2,C2,Recent Light,C2 Recent Light,2023,0.10262891809908994,2.869565217391304,3.1742753623188404,0.08082539234191333,0.8284313725490196,0.04731048479106556,0.9191746076580867
1,2,C2,Recent Light,C2 Recent Light,2024,0.06286721504112805,2.324324324324324,3.0022522522522523,0.023036229758383146,0.5210651828298887,0.03314545693146955,0.9769637702416168
1,2,C2,Recent Light,C2 Recent Light,2025,0.07225964482547453,3.1739130434782608,3.0130434782608693,0.03668706989143181,1.0,0.03403404694121932,0.9633129301085682
5,3,C3,Fading Discursive,C3 Fading Discursive,2022,0.5112299465240642,2.0588235294117645,13.735294117647058,0.6746810234507589,0.3713956170703575,0.9169443661749846,0.32531897654924113
5,3,C3,Fading Discursive,C3 Fading Discursive,2023,0.44951040391676866,2.236842105263158,14.34703947368421,0.5849786111291639,0.47174922600619207,0.9673177724451683,0.41502138887083606
5,3,C3,Fading Discursive,C3 Fading Discursive,2024,0.40434782608695646,2.1333333333333333,14.533333333333333,0.5193398846114942,0.41339869281045755,0.9826579073315798,0.48066011538850584
5,3,C3,Fading Discursive,C3 Fading Discursive,2025,0.5083226632522407,2.272727272727273,14.743939393939394,0.6704556142567193,0.49197860962566864,1.0,0.3295443857432807
4,4,C4,Fading Conversational,C4 Fading Conversational,2022,0.4874692874692874,2.189189189189189,7.2477477477477485,0.6401475783614804,0.44488606253312135,0.38273547392514273,0.3598524216385196
4,4,C4,Fading Conversational,C4 Fading Conversational,2023,0.4381606765327695,2.515151515151515,7.50719696969697,0.5684830591122757,0.6286393345216875,0.40409949562919545,0.4315169408877243
4,4,C4,Fading Conversational,C4 Fading Conversational,2024,0.45217391304347826,2.4,7.161111111111111,0.5888497220255396,0.5637254901960784,0.375601488432469,0.41115027797446035
4,4,C4,Fading Conversational,C4 Fading Conversational,2025,0.45585709378220535,2.268292682926829,7.145905923344947,0.5942028109066813,0.4894787183165949,0.37434943626206746,0.40579718909331874
3,5,C5,Cooling Light,C5 Cooling Light,2022,0.3874125874125874,2.076923076923077,3.217948717948718,0.4947264202506402,0.3815987933634994,0.050906712640799205,0.5052735797493598
3,5,C5,Cooling Light,C5 Cooling Light,2023,0.3227559226255161,2.102803738317757,2.9423676012461057,0.4007552312388888,0.396188381894814,0.0282143302384578,0.5992447687611112
3,5,C5,Cooling Light,C5 Cooling Light,2024,0.3188405797101449,2.0,3.5,0.39506472075001897,0.33823529411764713,0.07413187271693468,0.604935279249981
3,5,C5,Cooling Light,C5 Cooling Light,2025,0.354002061147372,2.341463414634146,2.9855691056910567,0.44616797868873587,0.530726924916308,0.03177170409248423,0.5538320213112642
6,6,C6,Dormant Light,C6 Dormant Light,2022,0.735064935064935,1.9047619047619047,3.0714285714285716,1.0,0.284547152194211,0.03884169441943013,0.0
6,6,C6,Dormant Light,C6 Dormant Light,2023,0.7074783401732787,1.9215686274509804,2.7222222222222223,0.9599059875529984,0.2940215301806998,0.010086734325167148,0.040094012447001615
6,6,C6,Dormant Light,C6 Dormant Light,2024,0.7260869565217392,1.4,3.7,0.986951518124164,0.0,0.09060062258910348,0.01304848187583596
6,6,C6,Dormant Light,C6 Dormant Light,2025,0.6266451166012468,1.8852459016393444,2.599726775956284,0.8424239900554183,0.2735454837672775,0.0,0.15757600994458165
